id,origen,destino,razon_viaje,transporte_utilizado,num_transbordos,tiempo_llegada,hora_inicio,hora_llegada,frecuencia_viaje,razon_transporte,costo_viaje,nivel_confort,satisfaccion_transporte,considera_otro_transporte,edad,genero,ocupacion,ingreso_mensual,vehiculos_hogar,factores_importantes,cambios_viaje,mejoras_transporte,acompanamiento,gasto_mensual_transporte,seguridad_trayecto
2024-09-27 18:33:36.944,moderna,playitas,Estudio,Autobús,3 o más,20 min ,09:00:00,10:00:00,Diariamente,Es la única opción,6 pesos aveces 13 por que no quieren hacer el descuento,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",27,Femenino,Estudiante,12 mil - 14 mil,0,"Tiempo, Costo, Seguridad, Comodidad",A veces tengo que caminar por qué el tiempo de espera del autobús es muy largo para moverme a cualquier punto de la ciudad,"Tiempo de espera, que no vayan tan llenos, que las unidades se encuentren en mejor estado y que la mayoría de los choferes sean amables. A veces el transporte se llena y eso no es seguro.",sola,1000,2
2024-09-27 18:44:07.691,zorrillo ,cicese,Estudio,Autobús,1,Hora y cuarenta minutos ,05:00:00,07:42:00,Diariamente,Es la única opción,16,5,5,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",25,Masculino,Estudiante,14 mil - 16 mil,0,Tiempo,No,"Tiempo, comodidad y seguridad vehicular ",Solo,640,4
2024-09-27 18:53:25.434,moderna,torres soriana ,Estudio,Autobús,0,5,09:40:00,09:50:00,Diariamente,Rapidez,7,1,1,Caminar,23,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad",Me levanto más temprano porque aveces pasan mucho camiones pero no dan parada porque están llenos,"Modernización y facilidades para personas con discapacidad, sistema de transporte inteligente como en Mérida, Yucatán ",No,1000,2
2024-09-27 19:16:59.020,"condominios santo tomas, colonia bronce cp 22830",cicese,Estudio,Autobús,0,40 min,08:00:00,08:40:00,Diariamente,Es la única opción,6 pesos,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",30,Masculino,Estudiante,12 mil - 14 mil,0,"Seguridad, Comodidad","He optado por tomar mas de una ruta a pesar de que mi domicilio no es lejano, esto para evitar esperar demasiado tiempo.","Autobuses de verdad (con espacio suficiente para las personas), limpios y seguros. Mejor frecuencia en la que pasa el transporte. Paradas establecidas y seguras, que estas sean respetadas y que los conductores no se vayan por otro lado ""porque hay trafico"", de eso se trata literalmente su trabajo, de conducir en una ciudad con tráfico,",Solo,$300,2
2024-09-27 19:22:30.907,centro,cicese,Estudio,Autobús,0,40 minutos,09:00:00,09:40:00,Diariamente,Costo,$7,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",32,Femenino,Estudiante,8 mil - 10 mil,0,Costo,No,Mayor numero de camiones y camiones mas grandes y comodos,Sola,$300-$500,3
2024-09-27 19:52:59.551,calle 10 y reforma,cicese,Estudio,Autobús,0,1 hora,08:00:00,09:00:00,Diariamente,Costo,6 pesos ,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",27,Masculino,Estudiante,14 mil - 16 mil,1,"Tiempo, Seguridad",No,"Mejores unidades, choferes capacitados, paradas mas seguras, mayor capacidad y más unidades en tránsito ",Solo,Más de 400 pesos,1
2024-09-27 19:56:00.903,popular,uabc_sauzal,Estudio,Autobús,2,1 hora ,10:00:00,11:10:00,3 veces por semana,Es la única opción,200 pesos por semana ,4,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",23 años ,Femenino,Estudiante,menos de 8 mil,2,"Tiempo, Costo",He tenido que ajustarme a los tiempos para salir de mi casa porque los camiones no pasan o tardan mucho ,Desearía que hubiera más camiones y que pasaran más eficientemente ,Sola,800-1000 pesos ,3
2024-09-27 20:33:58.310,villas,valle_dorado,Estudio,Automóvil,1,20-30 minutos ,06:30:00,07:00:00,Diariamente,Comodidad,50 pesos ,5,5,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",20,Femenino,Estudiante,menos de 8 mil,2,Seguridad,No,"Que las rutas se extendieran más, y los horarios también para estudiantes que viajan desde lejos ",Solo ,1000,5
2024-09-27 20:38:11.210,comandancia de policia,cicese,Estudio,Autobús,0,1 hora,09:00:00,10:00:00,Diariamente,Es la única opción,6 pesos,2,1,"Transporte privado (Didi, Uber, Indriver etc. )",27,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No,Utilizar camiones más grandes y en mejores condiciones,Solo ,400,2
2024-09-27 20:41:18.406,valle_dorado,encinos,Estudio,Autobús,2,1 hora,10:00:00,11:00:00,Diariamente,Es la única opción,13 pesos,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",21,Femenino,Estudiante,menos de 8 mil,1,"Tiempo, Comodidad",ninguno ,que no tarde tanto,solo,728,3
